recid,givenname,surname,suburb,pc
4303364,grace,tees,sawtell,2452
3549702,phyllis,sheard,warwick,4370
2492936,allison,farrar,harristown,4350
3209099,paul,newell,goolwa,5214
6646288,wendy,haneveld,toowoomba,4350
322074,edward,jones,kingsley,6026
3320349,barry,batchelor,jerrabomberra,2619
6343201,bryan,cairns,tewantin,4565
895522,margaret,boustani,dulwich hill,2203
2165284,steven,filipovic,earlville,4870
3041829,jennifer,lawrance,warnbro,6169
1722923,joan,glenton,wy yung,3875
1485358,sharon,l'estrange,cairns,4870
4344370,monique,hardie,berwick,3806
5499446,pauline,majeedzada,frankston,3199
6457916,valma,jess,victoria point,4165
2050621,rebecca,bryant,yokine,6060
2452031,bruce,wall,fairy hill,2470
1878598,tony,embleton,bentleigh east,3165
5442122,darrel,lockett,queenstown,7467
6670926,elaine,trigg,wagga wagga,2650
1272400,eliseo,newton,kelso,4815
4319827,brian,szymkow,londonderry,2753
911973,rosalind,gay,oakey,4401
3623531,julian,dutka,penrith,2750
3730028,cheryl,samawi,ryde,2112
2714227,moonyeen,faulkner,leichhardt,2040
6572662,christine,cusick,revesby,2212
4598391,allan,jones,beaumaris,3193
3656318,raymond,sifredi,carnegie,3163
2026115,william,reschke,coonawarra,5263
3402373,binh,zimmerman,harrisville,4307
772743,jacqueline,wilson,goolma,2852
5270161,geoffrey,herrmann,ballina,2478
912019,gloria,sheppard,moss vale,2577
2501271,david,pilley,mudgee,2850
2343364,pauline,fregnan,joondanna,6060
3861149,james,ashdown,perth,7300
2976422,jacques,burrows,george town,7253
6515367,deepak,nixon,kinglake,3763
690856,jia,miles,mareeba,4880
191148,roy,hick,isaacs,2607
4238450,eleanor,hughes,como,6152
5083592,thomas,franklin,marsden,4132
1206962,florence,ziegler,lane cove,2066
6228661,andrew,perry,mclaren vale,5171
895680,noel,patching,swan hill,3585
5302978,christina,zhang,macquarie park,2113
2225953,teresa,fair,falcon,6210
6294217,suzanne,cameron,hamilton,3300
2910927,sylvia,mcgregor,coorparoo,4151
379602,david,ibrahim,hurstville south,2221
1903320,margaret,schmal,woodend,3442
3115740,argyrios,runge,inverloch,3996
5430394,thomas,stone,edgewater,6027
5540575,peter,haydar,campbelltown,2560
1190626,may,d'aurora,brunswick east,3057
2861799,christine,cole,springfield,4300
4467439,jian,olive,mudgeeraba,4213
756466,hua,de deugd,alfredton,3350
4115189,philip,bracci,seaton,5023
5327609,graham,bettenay,yeronga,4104
3697411,ferninand,tang,south yarra,3141
1698564,doris,wilson,parkdale,3194
3271430,jacobus,beard,st george,4487
3492617,goran,frith,sunnybank,4109
2132747,lynne,jenkins,holbrook,2644
3197711,joan,marek,hawthorn,3122
4221712,jennifer,coleman,sylvania,2224
1305363,shirley,martin,newcastle,2300
5333465,xu,collins,rowville,3178
5483291,pearl,standen,barnsley,2278
4024728,donna,hale,wauchope,2446
6828507,sybil,stewart,medowie,2318
6073478,jery,willetts,ardlethan,2665
5064497,linda,mckeon,yerrinbool,2575
5909289,jim,mcgeoch,wollstonecraft,2065
4467499,janet,norman,beaudesert,4285
6712108,paul,lawrence,whyalla norrie,5608
3066672,cathy,speed,howrah,7018
5704503,joyce,meyer,forest lake,4078
3271488,sylvia,david,greystanes,2145
535363,chris,gao,avondale heights,3034
6343492,grannia,scerri,leichhardt,2040
863046,lance,hyndman,ridgehaven,5097
3574604,vladimirs,curley,vermont,3133
3631951,yun,squires,moree,2400
5483347,therese,males,ferntree gully,3156
3451734,rhys,huang,granville,2142
600919,mark,williams,beverley park,2217
1067865,carolyn,marshall,nerang,4211
3382415,peter,kemal,keilor,3036
1576383,gaye,sung,armadale,3143
6048605,natasha,ashton,charlestown,2290
2378591,martin,jones,runaway bay,4216
2427747,clauvis,barber,mudgeeraba,4213
1821552,franco,hammond,yallingup,6282
6171505,geoffrey,raty,lucinda,4850
2382995,langley,mestor,narre warren south,3805
2968437,susanne,hoad,east maitland,2323
1895286,janet,miedecke,rawdon island,2446
4672381,mark,edwards,portland,3305
6278015,denise,pearce,ridgehaven,5097
1788803,melinda,banion,pymble,2073
2083718,caroline,davidson,wagga wagga,2650
6278025,william,law,windsor,2756
3787658,peter,hanrahan,flynn,2615
3902348,carla,beck,tinaroo,4872
860653,brian,mccourt,takura,4655
5655441,carline,morrow,mill park,3082
6278037,claire,gibson,belmont north,2280
306072,mariette,willcocks,shailer park,4128
4500381,dolores,valekapa,auburn,2144
117662,linda,thrift,east maitland,2323
1076129,judith,blenkinsop,alice springs,0870
699301,troy,thurlow,torrens,2607
4328358,arnan,sellars,numeralla,2630
2411432,alessandro,futcher,kanimbla,4870
5977037,rohan,hughes,strathdale,3550
363436,barbara,hoyne,eltham,3095
1502125,ziad,georgdealis,summer hill,2130
3886003,judith,o'beirne,glenorchy,7010
1674164,kerry,attardi,bundoora,3083
1054537,deidre,catanzariti,darlinghurst,2010
1780670,xiuzhen,connell,port sorell,7307
3238849,adam,hammett,corinda,4075
4320195,joy,mcdonald,kiama,2533
5557188,beverley,horn,archerfield,4108
5188549,joy,christinger,fulham gardens,5024
2345926,scott,huett,deloraine,7304
4312007,andrew,samuel,st clair,2759
4090824,russell,baker,boddington,6390
1911757,graziella,klammer,lalor,3075
2135885,jean,laird,lilydale,3140
2558931,rabiha,neil,belrose,2085
6417364,mary,o'sullivan,camberwell,3124
1715160,joan,edwards,noble park,3174
4287454,leonaldo,borchard,goulburn,2580
5549024,wilfredo,casey,yass,2582
609256,roy,doering,cabarita,3505
4918250,michael,mundy,bridgewater,7030
5172203,huy,lightfoot,sherwood,4075
3312621,stephen,molyneux,evans head,2473
4164590,john,tam,burwood east,3151
1027056,heather,neilson,roleystone,6111
2395121,christina,wade,armidale,2350
1297396,kim,king,sylvania,2224
6433782,peter,gearman,montrose,3765
691194,kenneth,trood,broken hill,2880
6597636,vicki,brown,shepparton,3630
3443717,sigrid,denham,north ward,4810
93192,kenneth,probert,mildura,3500
1952780,ronald,waters,ebbw vale,4304
4418583,theresa,ruggiero,mount lawley,6050
5041183,paul,harvey,ross,7209
5680164,alison,schols,thirlmere,2572
3230760,sjaan,jensen,gin gin,4671
6787592,philip,mansour,south wentworthville,2145
1244339,james,de jonge,nambour,4560
1059901,lucia,mamea,fortitude valley,4006
3402933,philip,ford,noraville,2263
6073411,jawahar,hyland,mollymook,2539
85063,rita,bradshaw,labrador,4215
4672589,helen,vremaric,summer hill,2130
248910,deborah,childs,bulleen,3105
3378257,nazihah,drew,miranda,2228
5901399,jeannette,cooper,woy woy,2256
2944090,katherine,polito,marleston,5033
4385883,mark,crompton,hamilton south,2303
937053,jillian,thrupp,dalby,4405
6376549,wendy,thomas,lindisfarne,7015
6032489,vera,kruger,raceview,4305
5778540,christopher,henderson,laverton,3028
4440594,john,walker,dayboro,4521
2010223,qing,azzopardi,flagstaff hill,5159
2092144,beverley,fleischfresser,toowoomba,4350
6305640,my,weeden-absolon,riverton,5412
642162,beth,long,ashmore,4214
2542713,allan,mcgrath,gaven,4211
5409921,susan,osborne,macksville,2447
1232002,margaret,gooderick,bondi,2026
2583684,pauline,ward,werribee,3030
1252303,caroline,richardson,richmond,3121
568454,ian,farr,casino,2470
6843536,gloria,hully,plympton north,5037
2755732,margaret,askin,hollywell,4216
437399,john,chilcott,wynnum,4178
1013616,bradely,muratore,scarborough,6019
3951778,michel,barron,rivett,2611
1846436,jacob,carr,north ryde,2113
1389085,anthony,fry,robina,4226
3042482,isabel,colback,little grove,6330
3181747,walter,nash,ascot vale,3032
6196405,donna,webb,corrimal,2518
5967031,nigel,foster,crystal brook,5523
4631739,jodene,lorrigan,murrumba downs,4503
1092798,kai,brown,research,3095
1783669,valerie,goodman,roma,4455
4051488,mary,hope,mackay,4740
6114501,kenneth,walsh,wauchope,2446
3493063,ty,bydder,orelia,6167
3484874,dianne,hall,greenacre,2190
1764559,cathy,hurle,cranbrook,4814
2619256,manal,makin,kyabram,3620
4500691,beryl,colegate,kensington gardens,5068
789719,laurence,price,buderim,4556
830680,james,reiher,macquarie,2614
3296475,debra,duncan,bowraville,2449
5156061,mabel,francis,rutherglen,3685
5448229,carolyn,saito,lane cove,2066
3558626,mark,bylicki,bellara,4507
1977574,barry,leck,kingsley,6026
3157228,bill,dlugosz,bexley,2207
2321647,graeme,baker,montrose,3765
732401,johannes,cox,queanbeyan,2620
5942516,denise,sleeman,toowoomba,4350
11510,marco,loulouvis,lilyfield,2040
3820795,barbara,hughes,carindale,4152
4984068,ian,hepworth,woodlands,6018
3241857,frank,north,maclean,2463
740620,craig,sargent,busselton west,6280
3110786,marlo,lillington,lugarno,2210
2456792,thuan,sinclair,greensborough,3088
1420565,daniel,chester,heathmont,3135
3443991,lina,scott,tamworth,2340
2886941,ngocyen,de cruz,christmas island,6798
2428196,harry,bridges,zillmere,4034
2665765,bruce,norris,guildford,2161
6475046,jason,meaker,nyah west,3595
6712615,shane,robertson,marangaroo,6064
5279023,shirley,walia,toongabbie,2146
2682165,hin,scolyer,parkwood,4214
52534,stefan,lee,st marys,2760
4844857,june,fares,reservoir,3073
658655,narelle,mccam,winmalee,2777
2288957,phyllis,newman,hectorville,5073
3042623,susan,abbasi,point piper,2027
4689216,ruby,brennan,kandos,2848
1214347,charles,bassingthwaighte,dapto,2530
2272584,christopher,moloney,pialba,4655
4123978,julien,jenkins,golden grove,5125
1723723,carmelito,seto,burwood,2134
6040909,wai,roberts,koondoola,6064
4844879,john,cully,brighton,3186
2649436,pierre,sherwood,gracemere,4702
4148573,john,tapim,slade point,4740
1731936,carmen,roberts,safety beach,3936
5098849,olwen,trotta,blair athol,5084
2911588,elizabeth,neal,pacific paradise,4564
240997,ivan,lane,orange,2800
6278502,neil,o'reilly,edith creek,7330
2035048,kiran,mckenzie,parkwood,4214
6614382,andrew,jeavons,cleveland,4163
4345200,melania,lewis,eagle vale,2558
1527156,elizabeth,menzel,nuriootpa,5355
3632503,youle,maiden,craigmore,5114
3362169,margot,killeen,finley,2713
748930,matthew,theo,ashfield,2131
5361032,eliane,curcuruto,gordonvale,4865
2141420,ut,cocks,boulder,6432
6638986,kaye,beacroft,dapto,2530
606786,ann,nield,the entrance,2261
2485653,paritsa,dawber,belmont,2280
6131096,william,tsang,cabramatta,2166
5639582,anne,keep,hurlstone park,2193
5434784,mary,watts,taylors lakes,3038
2706853,dimitra,allan,kings park,3021
4083119,eamonn,byrne,moree,2400
2272690,joanne,pontt,tamworth,2340
3476915,herbert,jones,ashmont,2650
781752,roxanne,fischle,torwood,4066
1289663,audeon,perry,adamstown heights,2289
3083713,barry,bambrick,ferntree gully,3156
6581494,nenita,gould,aroona,4551
4550086,george,moule,edmonton,4869
1937997,sofia,long,bexley,2207
1027536,lynette,hollemans,withers,6230
5180889,huanyuan,bowmaker,campbelltown,2560
1756642,bruce,reis,nathan,4111
3878375,catherine,thomas,heidelberg west,3081
1084907,samantha,meagher,maryborough,3465
4722162,audrey,ferrington,beverly hills,2209
1093111,graham,wang,chippendale,2008
2290260,paul,webber,sunshine,3020
4959740,michael,le,ballajura,6066
6434313,ken,tempest,loch sport,3851
5025294,mark,willing,burradoo,2576
3886608,sutinah,courtin,keysborough,3173
1738670,john,johnston,sandy point,2171
5910044,kerryann,barnard,wavell heights,4012
3493408,mona,gibbons,rosewood,4340
5328419,may,lopez,dolls point,2219
3059240,jose,tierney,erskineville,2043
3288618,maree,jones,frenchs forest,2086
1715463,margrit,o'keeffe,boondall,4034
1994284,susanne,graham,crestmead,4132
3296817,graham,lukic,aspendale,3195
5484088,hie,britten,candelo,2550
5107258,clive,hayward,coogee,2034
1609275,thelma,gilbert,lakes entrance,3909
6521440,margaret,moss,mosman,2088
6590018,andrew,bailey,minden,4311
3477059,graham,ness,hallam,3803
1420870,joyce,famularo,werribee,3030
486984,ada,mckay,wangaratta,3677
5099082,wayne,ecimovic,tarragindi,4121
6819409,helen,tilley,sanctuary cove,4212
437844,ian,bombardieri,belmont,6104
6479118,jane,gay,jandakot,6164
863835,graeme,dixon,old toongabbie,2146
1281632,warren,andrews,frankston,3199
4247138,sam,haberfield,lane cove,2066
3591779,steven,duddy,yallourn north,3825
4238952,stephen,geeves,new town,7008
3190378,aileen,wall,howrah,7018
651880,richard,herranz,deception bay,4508
470646,pet,dennis,launceston south,7249
3846762,timothy,phillips,oyster bay,2225
1306238,ranko,dumaine,berowra heights,2082
3272319,greg,green,yulara,0872
4542080,manuel,inglis,whitfield,4870
6418049,pamela,wile,isabella plains,2905
3468932,raymond,horner,koorawatha,2807
6139531,dianne,thompson,carrum,3197
1008237,eva,doherty,tamworth,2340
904850,philip,athanasiou,weetangera,2614
6114977,ian,drennan,kalorama,3766
1560227,michelle,mcloughlin,green point,2251
3641007,michelle,aligway,neerdie,4570
4640432,barry,cahill,taree,2430
405179,paul,watkins,roseville,2069
3378881,margaret,narzisi,kew,3101
1574859,sinisa,lynch,sunshine,3020
6868677,heather,gibson,mansfield,4122
1273544,giuseppe,wicks,the gap,4061
1380041,weijian,harper,yagoona,2199
1191626,robyn,yusof,golden beach,2483
4550350,paul,mecklem,moggs creek,3231
4214483,robyn,mcconnell,belgrave,3160
5123796,linda,mullan,ceduna,5690
421589,stuart,tavener,old noarlunga,5168
4828892,debra,dunkerley,clayton,3168
5713631,glenys,sharp,five dock,2046
544482,sophie,munro,hillarys,6025
3378917,mark,belicka,lightning ridge,2834
4550685,gary,padgham,castlemaine,3450
1724143,susan,mann,parramatta,2150
5025530,peter,roberts,slacks creek,4127
4484866,paris,withers,daglish,6008
5385987,karen,foyster,doubleview,6018
3526407,carmel,harby-william,adelaide,5000
6565650,hoda,pearce,mooroolbark,3138
4452115,pamela,carmody,toowoomba,4350
2797334,keith,walton,clifton springs,3222
4943639,mun,walker,gorokan,2263
5484313,peggy,tudball,currumbin waters,4223
2633007,melpomeni,mcdonald,cromer,2099
5074724,paul,torchia,point cook,3030
5402407,timothy,thomas,sanctuary point,2540
3100457,doris,everingham,nemingha,2340
2322218,noreen,banfield,albany creek,4035
4591406,ratko,pallavicini,fraser,2615
4902705,june,couchman,ingle farm,5098
1158962,john,quartly,plumpton,2761
6516536,gregory,scott,elimbah,4516
1396538,kathleen,dowsley,nareen,3315
3190587,joseph,parisi,glenroy,3046
3428157,andrew,richards,gwynneville,2500
1101630,gregory,grace,tamworth,2340
3181877,john,bijac,hebersham,2770
737931,douglas,griffin,corowa,2646
3313478,wi,darroch,dingley village,3172
2191177,richard,chew,glenunga,5064
6147917,cate,carter,kogarah,2217
6033234,scott,turnbull,nundah,4012
1404759,maureen,dolder,tallai,4213
2486104,fiona,russell,blackburn north,3130
2215770,janice,mcdonell,bondi junction,2022
6622523,bernadette,maas,brassall,4305
2502505,joan,younger,gooroolba,4625
5287790,john,mcneil,hoppers crossing,3029
1388402,michael,slater,candelo,2550
6442871,phillip,ryan,randwick,2031
5328762,robert,lord,brisbane,4000
3338109,nola,hammad,firle,5070
741247,michael,ristevski,geelong west,3218
986432,julie,wohlfiel,drummoyne,2047
6688642,maria,shi,rockdale,2216
3288964,james,yau,epping,2121
5853065,maryan,fenton,frankston,3199
577421,rodney,torres,freeling,5372
2559888,dallas,callaway,lower plenty,3093
2731921,warren,griffiths,churchlands,6018
266136,elizabeth,suter,kingsgrove,2208
6262681,fay,hayman,berowra heights,2082
1601438,david,dawson,glen innes,2370
4263843,barbara,blacklock,yengarie,4650
4755367,dulcie,schmidt,narraweena,2099
5107625,belinda,cetta,highbury,5089
5337002,anny,blokkeerus,altona north,3025
3764149,yao,naudi,carlisle,6101
6000568,tao,lingard,golden beach,4551
3436475,john,white,elizabeth vale,5112
3567548,michael,bernard,mooloolaba,4557
3534781,my,oakes,mount riverview,2774
2076615,rick,tandurella,glenroy,3046
3026893,lindy,ward,long beach,2536
5812174,gillian,hughes,shailer park,4128
872400,anthony,bell,altona,3018
2576341,tony,warnock,wangaratta,3677
3945934,gerald,voyce,o'sullivan beach,5166
1621327,jennifer,jelfs,dean park,2761
6901728,rachelle,sykes,cranbourne east,3977
6590435,monica,argall,kambah,2902
1417894,robyne,drake,clayton south,3169
5656551,julee,mishap,crayfish creek,7321
298984,norma,drummond,running stream,2850
4034537,tayyeba,harvey,morphett vale,5162
5115884,joanne,hobman,cardiff heights,2285
3567599,robyn,knox,balgowlah,2093
5537107,stephen,johnston,boambee,2450
3815545,betty,smith,scone,2337
2379772,kaye,robin,harbord,2096
856061,marisa,evans,middle park,3206
6836234,martin,skinner,chadstone,3148
4771854,angus,callahan,warrandyte,3113
811693,gavin,pinsker,redland bay,4165
585745,xiaoyi,spencer,broome,6725
1486868,joan,naser,campsie,2194
2805782,isung,medrano,dulwich hill,2203
118813,graham,mitchell,barrack heights,2528
5810181,marjorie,matheson,redland bay,4165
2969638,ying,bumie,ermington,2115
651304,elizabeth,rossler,elizabeth park,5113
1486172,phong,mckay,seaford,3198
5492778,lindsay,stanley,lane cove,2066
3821613,john,garrick,north rockhampton,4701
5730350,annette,mcmillan,ferntree gully,3156
1675311,kassan,stevenson,maclean,2463
2248758,sally,hapke,alice springs,0870
5369918,ruth,calesse,brunswick west,3055
4378688,shane,kinrade,leopold,3224
618565,pamela,lorek,merredin,6415
495688,marilyn,wilkinson,sunbury,3429
4681801,gary,kenny,cavendish,3314
4722762,eric,lay,sans souci,2219
5181520,caroline,kramer,caboolture,4510
3436641,john,chessells,barooga,3644
45155,mary,cary,peterborough,5422
4935782,ruth,o'brien,worongary,4213
2920552,barry,osborne,moggill,4070
1749101,denis,haydon,ferntree gully,3156
2187965,david,peterson,ringwood,3134
6295664,kenneth,cheeseman,redcliffe,4020
454772,virginio,gilchrist,stanmore,2048
1773693,ross,ioannou,two wells,5501
5664895,robyn,dewell,forestville,2087
2748550,ann,nerney,scone,2337
1323150,marlene,malady,portland,3305
274575,takako,dal nevo,robina,4226
5681298,hendrik,tola,bibra lake,6163
2076822,rebecca,dostal,narrabundah,2604
4395159,william,jean,ardeer,3022
1765528,christine,higgins,oxley park,2760
2314394,peter,thompson,port augusta,5700
2543776,tracy,o'donnell,winthrop,6150
4281030,yolanda,brown,victor harbor,5211
4731051,orane,higginson,kensington,5068
6246574,varvara,griffiths,eton,4741
3223727,matthew,simpson,chambers flat,4133
6795455,chow,meldrum,booval,4304
4239553,peter,dellis,oatley,2223
2044098,tarcisio,parker,cowangie,3506
1970372,phillip,mesecke,edmonton,4869
1503432,john,ward,macksville,2447
5173453,dulcie,tait,everton park,4053
1233102,richard,burton,emerald,4720
905424,suzanne,deans,croydon hills,3136
6688978,stephen,elder,balgowlah,2093
1814739,audrey,coney,kiama,2533
5255380,lynette,mcmanus,port kembla,2505
1732827,david,cheng,punchbowl,2196
6869214,nishma,lemon,ainslie,2602
2248933,ian,zoeb,kalamunda,6076
4157674,helen,hutchins,moonta bay,5558
5837045,matthew,howard,anakie,3221
5361911,ronald,lam,croydon park,5008
3666168,beth,service,north manly,2100
1118459,an,morthorpe,moss vale,2577
6254846,julie,violi,mildura,3500
3174655,vivienne,hoffmann,warracknabeal,3393
1986818,kelly,martin,merrigum,3618
6254851,donna,yanli,willoughby,2068
1624108,joan,bremner,miami,4220
6524290,wilhelmina,swann,newtown,4350
6099218,pamela,rolls,toowoomba,4350
4518168,sharn,andrews,cannon valley,4800
1741081,jacqueline,wong,clayton south,3169
3329729,vasikaran,stephens,west pennant hills,2125
28957,donna,breeden,carlton,3053
6459678,chun,houston,highbury,5089
946464,montgomery,mckinnon,waterloo,2017
5894433,john,holyoake,pleasant hills,2658
6730020,darren,peverill,wurruk,3850
5599536,irene,ellis,coolbellup,6163
6443313,john,paragreen,clayton,3168
5149406,nina,menzies,coolamon,2701
6623542,andrea,richardson,myrniong,3341
1249593,joan,durdu,auburn,2144
1659615,malcolm,o'brien,caboolture,4510
1569084,xiaoling,on,mansfield,4122
4059453,moira,mckenzie,temora,2666
5714240,terri,tyzack,leopold,3224
2478404,ross,henley,kew,3101
397637,mary,lewis,brickmakers beach,7321
6549835,stuart,taylor,brighton,3186
2006413,jonathen,hoskins,mudgeeraba,4213
4968784,cheryl,billett,kingston beach,7050
1544530,eric,broad,hampton park,3976
5648723,wayne,bibby,navarre,3384
2661774,peter,wickham,killarney,4373
3903831,robert,szalek,port douglas,4871
5869913,raymond,nguyen,edmonton,4869
2226234,kirstie,beaton,simpson,3266
2814302,warren,dunne,ballajura,6066
2027873,juliet,jackson,glebe,2037
4231533,john,sonter,lalor park,2147
1888627,chad,timpano,coburg,3058
2003316,adrian,sims,port augusta,5700
4837754,susan,collier,wherrol flat,2429
2036092,brendan,eacott,longwarry,3816
6517118,keith,scott,north rockhampton,4701
5370239,david,davenport,woodvale,6026
2742336,anna,hardy,bankstown,2200
2453895,michael,moodie,seven hills,2147
119176,nigel,walshe,bunbury,6230
2331027,philip,holmes,kingaroy,4610
2507502,harry,webb,broken hill,2880
2666903,william,anderson,maryborough,3465
3854747,trevor,johnson,morphettville,5043
3846556,paul,truscott,north rockhampton,4701
5058979,bernadette,king,dunwich,4183
2101673,mahesh,bouzige,aspendale,3195
6721970,trevor,jeffreys,alberton,4207
1298869,carlene,lanfranchi,wodonga,3690
594363,hanlin,rookwood,park ridge,4125
2429372,domenic,whiting,port augusta,5700
1323453,paul,brown,artarmon,2064
3264961,carole,tranter,rochedale,4123
250307,tracey,ruddle,box hill south,3128
872901,damian,johnson,bonnyrigg,2177
6312392,sal,bentley,homebush,2140
3699145,karen,kicaj,warrandyte,3113
6304212,gavan,montgomery,wanguri,0810
3428823,nola,rueger,toowong,4066
4215257,joy,coady,dee why,2099
5853659,deborah,wright,muswellbrook,2333
2003420,jason,ramke,joyner,4500
3666409,janet,williams,narrabeen,2101
2380270,anthony,iles,cranebrook,2749
4256242,faouzi,ivanoski,wooloowin,4030
3011060,jeffrey,kay,clifton park,6233
6042102,maria,hawa,busby,2168
2609656,andrew,lathan,salisbury,5108
4854318,martin,dawson,kotara south,2289
1864189,agnes,bow,kangarilla,5157
6337029,neale,rayner,narooma,2546
4264454,glenn,timms,lawnton,4501
2593288,maria,patynowski,unanderra,2526
4395538,gregory,smith,trinity beach,4879
4870675,christine,devitt,taree,2430
78358,janice,morrison,camden,2570
1151517,walde,braat,hawthorne,4171
332318,nicole,aue,bankstown,2200
217632,michael,drozdovskii,camp hill,4152
709154,tony,hannon,quakers hill,2763
4573275,william,debono,armadale,6112
3322405,debra,opacak,ashfield,2131
4237404,michael,gresham,glenreagh,2450
4338218,brendan,hoobin,clearview,5085
1692203,fiona,cameron,kippa-ring,4021
1602093,donna,bruhn,auburn,5451
970715,gregory,veneris,tingalpa,4173
1684018,christopher,magee,mosman,2088
3519028,hannelore,lea,gladstone,4680
5846430,hsinfa,rennie,carseldine,4034
1544759,kylie,mckinnon,berkeley,2506
672522,judy,liebe,bright,3741
6217141,richard,solomon,paddington,4064
1897024,giovanni,simoes,sunshine,3020
5190213,helen,sujanthan,auburn,2144
3789383,david,millsteed,melton,3337
348746,craig,debono,abbotsford,3067
946763,colleen,bowler,macquarie,2614
356941,sharon,tinsley,elizabeth east,5112
5141076,clorinda,palmer,duncraig,6023
5198434,reginald,karlusic,fitzroy north,3068
627300,shaun,browning,wantirna south,3152
4334353,lyndell,falconer,figtree,2525
5583464,carol,mccabe,port kennedy,6172
3445354,norma,thomson,malvern east,3148
4133483,arnold,haigh,loxton,5333
6894188,debra,parker,two rocks,6037
1772991,garth,monnix,eagleby,4207
4698752,martin,jensz,balliang,3340
3232388,peter,meyerson,double bay,2028
3219537,alan,ricci,altona north,3025
3526081,gustaf,purnell,culburra,2540
3289754,nancy,bancroft,lockridge,6054
4035228,helen,downie,bellevue hill,2023
2687771,corinne,pickett,mansfield,3724
2339492,evelyn,johnston,cronulla,2230
6517416,carol,phelps,kambalda,6442
4838060,robert,turner,woonona,2517
5829293,anthony,bouch,bentleigh east,3165
6886062,kevin,rumble,pegs creek,6714
357040,peter,stevens,healesville,3777
3957536,alma,chand,forest lake,4078
225990,peter,keegan,glenelg east,5045
3355336,david,higgins,strathfield,2135
4485834,wayne,groenenberg,maryborough,4650
2486991,sheila,fitzgerald,huntingdale,3166
3011281,rodney,spurling,salisbury,5108
4903634,thuy,gregory,prahran,3181
2036437,michael,hogan,goombi,4352
571513,alexander,clarke,kedron,4031
160474,kerry,mattera,woodhouselee,2580
5968603,sharon,henry,collaroy,2097
6410974,qian,lee,northcote,3070
2233055,irene,thong,west perth,6005
6279905,cheryl,gonser,ocean reef,6027
6517474,yee,clarke,miranda,2228
3027684,george,stone,altona,3018
3265258,les,jones,prahran,3181
6886124,brenton,bartsch,renmark,5341
3961581,jack,alexander,eltham,3095
3126010,david,grant,cremorne,2090
4944635,william,collins,killarney vale,2261
4788988,nancy,best,pimlico,4812
3445503,hai,phillips,collinsville,4804
4231951,wai,tanner,summerland point,2259
1479441,anthony,borg,pascoe vale,3044
6820630,betty,miralles,hillsdale,2036
54041,peter,corrigan,hawthorne,4171
1495834,charles,johns,maude,3331
4379419,dianne,daltrossi,melton south,3338
3937054,kurt,nolan,glen iris,3146
6007701,stephen,whitton,dodges ferry,7173
4657957,leanne,ingham,coolangatta,4225
1766210,andrew,still,thornlie,6108
2634568,sandilea,hollier,bedford,6052
1069898,shirley,zapanta,south belmore,2192
4526923,shirley,boden,port kennedy,6172
6107983,elizabeth,nicholls,gundagai,2722
4895568,giuseppe,mckellar,kelso,2795
938836,peter,hogben,quakers hill,2763
774999,john,mitchell,dolls point,2219
3248984,chea,wyatt,kewarra beach,4879
1037147,noelle,dare,victoria park,6100
4629306,keith,byrne,marcus beach,4573
1692513,mark,presser,hamlyn heights,3215
2006502,kawo,smith,toowoomba,4350
1962854,antonia,payne,brownsville,2530
5501808,pamela,smith,gateshead,2290
3052403,janie,rowcliff,bracken ridge,4017
1356669,brett,neville,pymble,2073
668544,elizabeth,sheehan,armadale,6112
4903810,anthony,booth,upper coomera,4210
3571180,julien,minichiello,newton,5074
3699597,julia,wright-smith,fitzroy north,3068
4682645,thieu,tyszyk,nelson bay,2315
3290008,muesser,dennis,port lincoln,5606
1012635,sheesang,jago,sale,3850
45983,adrienne,hale,mount morgan,4714
4699042,gary,malone,traralgon,3844
6681507,leanne,pemble,blacktown,2148
4215717,julie,bellia,chatswood,2067
2806694,william,elliot,lavington,2641
5043111,colleen,brown,spotswood,3015
6255534,maureen,mcmahon,brunswick,3056
5953693,christopher,corcoran,bargara,4670
1102769,donald,young,fullarton,5063
5370805,iranthi,wildey,cairns,4870
3036087,claire,mcardell,boulder,6432
1168315,gregg,walker,lavington,2641
2610110,william,sewell,altona,3018
6304703,mark,annonier,ocean grove,3226
3994561,wayne,di luzio,fawkner,3060
4100939,brenda,thompson,stanthorpe,4380
2307012,glen,perfect,narellan,2567
1938377,sandra,bull,andergrove,4740
1143754,marietta,verney,newport,2106
616610,john,lyons,kallaroo,6025
611278,sara,kovacevic,rockingham,6168
4084687,john,ball,yamanto,4305
3060688,terry,stefanidis,bundoora,3083
4961242,kathleen,smith,asquith,2077
6140751,siegfried,eastick,glenside,5065
144350,anne,li,parramatta park,4870
3871568,peter,lacey,rockingham,6168
5452777,john,van mourik,newport,3015
2790378,pamela,warren,woodcroft,5162
6689771,richard,shafer,helensburgh,2508
2667500,raymond,smith,homebush west,2140
1545197,michael,sherwin,tarragindi,4121
6050804,sue,saffioti,sans souci,2219
4576248,john,kiessling,glenview,4553
2774009,clara,morrow,nunawading,3131
2331644,mark,leong,blakehurst,2221
6681432,pamela,castle,burrum heads,4659
3314706,anne,mandorla,airport west,3042
6517786,sonya,neill,pymble,2073
3249180,helen,stonham,wantirna,3152
234527,yuan,costas,baulkham hills,2153
6583329,hilda,champ,warners bay,2282
2618403,aaron,sullivan,cow bay,4873
947818,matthew,sakoulas,doncaster,3108
750632,tracy,forsyth,cavendish,3314
